Aarhus,AAR,Tirstrup
Manizales,MZL,Santaguida
Girardot,GIR,Girardot
Florencia,FLA,Capitolio
Essen,ESS,Essen
Jurado,JUO,Jurado
Mitu,MVP,Mitu
Estherville,EST,Municipal
Liberia,LIR,Liberia
Eufaula,EUF,Weedon Field
Golfito,GLF,Golfito
Eugene,EUG,Eugene
Havana,HAV,Jose Marti Intl
Havana,UPB,Playa Baracoa
Eunice,UCE,Eunice
Eureka,EKA,Murray Field
Eureka,YEU,Eureka
Eureka,EUE,Eureka
Guantanamo,NBW,Guantanamo NAS
Guantanamo,GAO,Los Canos
Holguin,HOG,Frank Pais
Evanston,EVW,Evanston
Matanzas,VRO,Kawama
Nueva Gerona,GER,Rafael Cabrera
Evansville,EVV,Dress Regional
Everett,PAE,Snohomish County
Las Tunas,VTU,Las Tunas
Exeter,EXT,Exeter
Fada Ngourma,FNG,Fada Ngourma
Nicosia,NIC,Nicosia
Fairbanks,EIL,Eielson AFB
Fairbanks,FBK,Ft Wainwright
Fairbanks,FAI,International
Fairbanks,MTX,Metro Field
Fairbanks,PII,Phillips Field
Karlovy Vary,KLV,Karlovy Vary
Munich,MUC,Franz Josef Strauss
Fairfield,SUU,Travis AFB
Fairfield,FFL,Municipal
Kiel,KEL,Holtenau
Fairmont,FRM,Fairmont
Hamburg,XFW,Finkenwerder
Hamburg,HAM,Hamburg
Fairview,ZFW,Fairview
Kassel,KSF,Kassel-Calden
Faizabad,FBD,Faizabad
Flensburg,FLF,Schaferhaus
Fallon,FLX,Municipal
Fallon,NFL,NAS
Heidelberg,HDB,Heidelberg
Augsburg,AGB,Augsburg - Muehlhausen
Hof,HOQ,Hof
Falmouth,FMH,Otis AFB
Mannheim,MHG,Mannheim Arpt
Frankfurt,FRA,Frankfurt International Airport (Rhein-Main)
Frankfurt,QGV,Neu Isenburg
Frankfurt,FRF,Rhein-Main AFB
Jena,ZJS,Jena Railway
Gera,ZGA,Gera Railway
Faranah,FAA,Faranah
Fargo,FAR,Hector Field
Faribault,FBL,Municipal
Farmingdale,FRG,Republic Field
Farmington,FAM,Regional
Farmington,FMN,Municipal
Hassi Messaoud,HME,Oued Irara Apt
Illizi,VVZ,Illizi
Fasa,FAZ,Fasa
Mostaganem,MQV,Mostaganem
Fayetteville,FYV,Municipal (Drake Fld)
Fayetteville,XNA,Northwest Arkansas Rgn
Fayetteville,FAY,Municipal
Fayetteville,POB,Pope AFB
Fayetteville,FYM,Municipal
Mascara,MUW,Mascara
Ghardaia,GHA,Noumerate
Fergus Falls,FFM,Fergus Falls
Jijel,GJL,Jijel
Jipijapa,JIP,Jipijapa
Fillmore,FIL,Municipal
Manta,MEC,Manta
Macara,MRR,Macara
Guayaquil,GYE,Simon Bolivar
Findlay,FDY,Findlay
Macas,XMS,Macas
Latacunga,LTX,Cotopaxi International
Machala,MCH,Machala
Kardla,KDL,Kardla
Kuressaare,URE,Kuressaare
Flin Flon,YFO,Flin Flon
Flint,FNT,Bishop
Pisa,PSA,Galileo Galilei
Florence,FLR,Florence Peretola
Florence,ZMS,S.M. Novella Rail.Svc
Florence,FLO,Florence
Flores,FRS,Santa Elena
Gander,YQX,Gander International
Foggia,FOG,Gino Lisa
Foley,NHX,Barin Olf Osn
Halifax,YWF,Dwtown Waterfront H/P
Halifax,YHZ,Halifax International
Halifax,YAW,Shearwater
Forest City,FXY,Municipal
Forest Park,FOP,Morris AAF
Iqaluit,YFB,Iqaluit
Meadow Lake,YLJ,Meadow Lake
Gillam,YGX,Gillam
Forrest City,FCY,Municipal
Kamloops,YKA,Kamloops
Lansdowne House,YLH,Lansdowne House
Fort Bragg,FOB,Fort Bragg
Fort Bragg,FBG,Simmons AAF
La Sarre,SSQ,La Sarre
Mingan,YLP,Mingan
Moose Jaw,YMJ,Moose Jaw / Air Vice Marshal C. M. Mcewen Airport
Fort Chipewyan,YPY,Fort Chipewyan
Nelson,NSN,Nelson
Medicine Hat,YXH,Medicine Hat
Fort Dodge,FOD,Fort Dodge
Hopedale,YHO,Hopedale
Norway House,YNE,Norway House
Norman Wells,YVQ,Norman Wells
Fort Good Hope,YGH,Fort Good Hope
Fort Resolution,YFR,Fort Resolution
Kuujjuaq,YVP,Kuujjuaq
Holman,YHI,Holman
Moosonee,YMO,Moosonee
Kelowna,YLW,Kelowna Airport
Fort Smith,FSM,Municipal
Fort Smith,YSM,Fort Smith
Fort Severn,YER,Fort Severn
Fort Lauderdale,FXE,Executive
Fort Lauderdale,FLL,International
Kindersley,YKY,Kindersley
Igloolik,YGT,Igloolik
Hudson Bay,YHB,Hudson Bay
Fort Madison,FMS,Municipal
North Bay,YYB,North Bay
North Battleford,YQW,North Battleford
Grise Fiord,YGZ,Grise Fiord
Hay River,YHY,Hay River
Fort Meade,FME,Tipton AAF
Toronto,YTO,Metropolitan Area
Fort Myers,FMY,Page Field
Fort Myers,RSW,Southwest Florida Reg
Gjoa Haven,YHK,Gjoa Haven
Fort Simpson,YFS,Fort Simpson
Lethbridge,YQL,Lethbridge
Fort Nelson,YYE,Fort Nelson
Fort Pierce,FPR,St Lucie County
London,ZLX,British Rail Terminal
London,LGW,Gatwick
London,LHR,Heathrow
London,LCY,London City Airport
London,QQW,London-Waterloo
London,LTN,Luton Airport
London,STN,Stansted
London,ZEP,Victoria Railway Stn.
London,LOZ,Corbin-London
Natashquan,YNA,Natashquan
Kenora,YQK,Kenora
Fort Scott,FSK,Municipal
Marathon,MTH,Marathon Flight Strip
Marathon,YSP,Marathon
Jasper,APT,Marion County
Jasper,JAS,County
La Ronge,YVC,La Ronge
Fort Stockton,FST,Pecos County
Gimli,YGM,Gimli
Fort Wayne,FWA,Municipal/Baer Field
Fort Wayne,SMD,Smith Field
Fort William,FWM,Heliport
Fort Worth,FWH,Carswell AFB
Fort Worth,AFW,Fort Worth Alliance
Fort Worth,FTW,Meacham Field
Lynn Lake,YYL,Lynn Lake
Fortuna,FON,Fortuna
Nain,YDP,Nain
Foshan,ZCP,Foshan Ferry
Foumban,FOM,Foumban
Kapuskasing,YYU,Kapuskasing
Franceville,MVB,Franceville/Mvengue
Nanaimo,ZNA,Harbour
Nanaimo,YCD,Nanaimo Arpt
Hall Beach,YUX,Hall Beach
Frankfort,FFT,Capital City
Franklin,FKL,Chess-Lambertin
Franklin,FKN,Municipal
Kangirsuk,YKG,Kangirsuk
Hearst,YHF,Hearst
Frederick,FDK,Municipal
Frederick,FDR,Municipal
Matagami,YNM,Matagami
Inuvik,YEV,Inuvik/Mike Zubko
Fredericton,YFC,Fredericton
Liverpool,LPL,Liverpool John Lennon (Speke)
Montreal,YMX,Mirabel
Montreal,YUL,Montreal International Airport
Montreal,YHU,St Hubert
Montreal,XLM,St Lambert Rail Svce.
Freeport,FEP,Albertus
Inukjuak,YPH,Inukjuak
Fremont,FET,Municipal
Fresno,FAT,Airterminal
Fresno,FCH,Fresno-Chandler
Fria,FIG,Fria
Geneva,GVA,Geneve-cointrin
Lugano,LUG,Lugano
Fukui,FKJ,Fukui
Fukuoka,FUK,Fukuoka
Fukushima,FKS,Fukushima Airport
Fullerton,FUL,Municipal
La Serena,LSC,La Florida
Iquique,IQQ,Cavancha
Fuzhou,FOC,Fuzhou
Gadsden,GAD,Municipal
Los Andes,LOB,Los Andes
Gainesville,GNV,Gainesville Regional
Gainesville,GVL,Lee Gilmer Memorial
Gainesville,GLE,Municipal
Los Angeles,CCD,Century City
Los Angeles,JCX,Citicorp Plaza H/P
Los Angeles,JID,City Of Industry H/P
Los Angeles,JBP,Commerce Bus. Plaza
Los Angeles,LAX,Los Angeles International
Los Angeles,JSN,Sherman Oaks H/P
Los Angeles,JLX,Union Station H/P
Los Angeles,JUC,Universal City H/P
Los Angeles,VNY,Van Nuys
Los Angeles,JWC,Warner Cntr Bus. Plaza
Los Angeles,WHP,Whiteman
Los Angeles,LSQ,Los Angeles
Gaithersburg,GAI,Montgomery County
Galesburg,GBG,Galesburg
Galion,GQQ,Galion
Kribi,KBI,Kribi
Gallup,GUP,Senator Clark
Maroua,MVR,Salam
Galveston,GLS,Scholes Field
Galway,GWY,Carnmore
Ngaoundere,NGE,Ngaoundere
Limbe,VCC,Limbe
Gamba,GAX,Gamba
Gambela,GMB,Gambela
Nkongsamba,NKS,Nkongsamba
Garoua,GOU,Garoua
Gangneung,KAG,Gangneung
Nanchang,KHN,Nanchang
Gaoua,XGA,Gaoua
Jilin,JIL,Jilin
Garden City,GCK,Municipal Airport
Garden City,JHC,Island Heliport
Hengyang,HNY,Hengyang
Haikou,HAK,Haikou
Hohhot,HET,Hohhot
Lhasa,LXA,Lhasa
Gardner,GDM,Municipal
Kunming,KMG,Kunming
Garissa,GAS,Garissa
Manzhouli,NZH,Manzhouli
Harbin,HRB,Harbin
Nanning,NNG,Nanning
Gaylord,GLR,Otsego County
Linyi,LYI,Linyi
Jinzhou,JNZ,Jinzhou
Guiyang,KWE,Guiyang
Jining,JNG,Jining
Luzhou,LZO,Luzhou
Genoa,GOA,Cristoforo Colombo
Nanchong,NAO,Nanchong
Huizhou,HUZ,Huizhou
Longyan,LCX,Liancheng
Gettysburg,GTY,Gettysburg
Guilin,KWL,Guilin
Liuzhou,LZH,Liuzhou
Ningbo,NGB,Ningbo
Nanyang,NNY,Nanyang
Jiujiang,JIU,Jiujiang
Jingdezhen,JDZ,Jingdezhen
Lianyungang,LYG,Lianyungang
Gillette,GCC,Campbell County
Jinan,TNA,Jinan
Guangzhou,CAN,Baiyun
Luoyang,LYA,Luoyang
Gitega,GID,Gitega
Huanghua,HHA,Changsha Huanghua
Linxi,LXI,Linxi
Glasgow,GLA,Glasgow International
Glasgow,PIK,Prestwick
Glasgow,ZGG,ScotRail
Glasgow,GLW,Municipal
Glasgow,GGW,International
Glendale,JGX,Heliport
Glendale,GWV,Glendale
Glendive,GDV,Dawson Community
Hailar,HLD,Hailar
Glens Falls,GFL,Warren County
Glenview,NBU,NAS
Glenwood Springs,GWS,Glenwood Springs
Gloucester,GLO,Gloucestershire
Goba,GOB,Goba
Goldsboro,GSB,Seymour Johnson AFB
Khulna,KHL,Khulna
Jessore,JSR,Jessore
Goodyear,GYR,Litchfield
Liege,LGG,Bierset
Liege,XHN,"Guillemins, Raiway Stn"
Gorakhpur,GOP,Gorakhpur
Gore,GOR,Gore
Kaya,XKY,Kaya
Manga,MGP,Manga
Gorgan,GBT,Gorgan
Leo,XLU,Leo
Nouna,XNU,Nouna
Gorontalo,GTO,Tolotio
Goshen,GSH,Goshen
Gracias,GAC,Gracias
Kirundo,KRE,Kirundo
Kandi,KDC,Kandi
Grand Forks,ZGF,Grand Forks
Grand Forks,GFK,Grand Forks
Natitingou,NAE,Natitingou
Grand Island,GRI,Grand Island
Grand Junction,GJT,Walker Field
Grand Rapids,GRR,Kent County Intl
Grand Rapids,GPZ,Grand Rapids
Grandview,GVW,Richards-Gebaur
Grants,GNT,Milan
Granville,GFR,Granville
Guayaramerin,GYA,Guayaramerin
Great Bend,GBD,Great Bend
Great Falls,GTF,International
Great Falls,GFA,Malmstrom AFB
Greeley,GXY,Weld County
Green Bay,GRB,Austin-straubel Field
Green River,GVI,Green River
Green River,RVR,Green River
Greenfield,GFD,Pope Field
Imphal,IMF,Municipal
Lucknow,LKO,Amausi
Greenwood,GWO,Leflore
Greenwood,YZX,Greenwood
Greenwood,GRD,Greenwood
Kolkata,CCU,Netaji Subhas Chandra
Jamshedpur,IXW,Sonari
Jodhpur,JDH,Jodhpur
Grenada,GND,Point Saline Intl
Kolhapur,KLH,Kolhapur
Grimsby,GSY,Binbrook
Nasik,ISK,Gandhinagar Arpt
Kozhikode,CCJ,Kozhikode Airport
Groton,ZGD,New London Rail
Ludhiana,LUH,Ludhiana
Guadalupe,GDP,Guadalupe
Jabalpur,JLR,Jabalpur
Nagpur,NAG,Sonegaon
Nanded,NDC,Nanded
Kanpur,KNU,Kanpur
Jammu,IXJ,Satwari
Indore,IDR,Indore
Muzaffarnagar,MZA,Muzaffarnagar
Jaipur,JAI,Sanganeer
Mysore,MYQ,Mysore
Hubli,HBX,Hubli
Gulf Shores,GUF,Edwards
Gulfport,GPT,Biloxi Regional
Madurai,IXM,Madurai
Gunnison,GUC,Gunnison
Mosul,OSM,Mosul
Gunsan,KUV,Gunsan
Kirkuk,KIK,Kirkuk
Guthrie,GOK,Guthrie
Guymon,GUY,Guymon
Gwalior,GWL,Gwalior
Gwangju,KWJ,Gwangju
Isfahan,IFN,Isfahan
Hachinohe,HHE,Hachinohe
Hagerstown,HGR,Wash. County Regional
Kermanshah,KSH,Kermanshah
Haifa,HFA,Haifa
Khorramabad,KHD,Khorramabad
Hamadan,HDM,Hamadan
Kerman,KER,Kerman
Hakodate,HKD,Hakodate
Hammersmith,WUK,Off Line Point
Hampton,HPT,Municipal
Hampton,LFI,Langley AFB
Hampton,ZWW,Newport News Rail
Hampton,ZWB,Williamsburg Rail
Hanover,HAJ,Hanover Arpt
Hanover,ZVR,Hanover Railway
Hanover,ZVM,Messe-BF Railway Servi
Harlingen,HRL,Valley International
Harrisburg,HSB,Raleigh
Harrisburg,MDT,Harrisburg Intl
Harrisburg,ZUG,Harrisburg Rail
Harrisburg,HAR,Harrisburg Skyport
Isafjordur,IFJ,Isafjordur
Harrison,HRO,Boone County
Hartford,BNH,Barnes
Hartford,HFD,Brainard
Hartford,ZRT,Hartford CT Rail
Milan,XIK,Central Station
Milan,LIN,Linate
Milan,MXP,Malpensa
Milan,SWK,Segrate
Naples,APF,Naples
Naples,NAP,Capodichino
Naples,ZMF,Beverello Harbor
Naples,ZMJ,Mergellina Harbour
Naples,ZMI,Mergellina Railway Svc
Hartsville,HVS,Municipal
Modena,ZMO,Bus Station
Hastings,HSI,Hastings
Parma,PMF,Giuseppe Verdi
Messina,MEZ,Messina
Hattiesburg,HBG,The Hattiesburg-Bobby L. Chain Mun.
Lecce,LCC,Galatina
Mandeville,MVJ,Marlboro
Montego Bay,MBJ,Sangster International
Havre,HVR,City County
Hawthorne,HHR,Hawthorne
Hawthorne,HTH,Hawthorne
Hayden,HDN,Yampa Valley
Hays,HYS,Municipal
Hayward,HWD,Air Terminal
Hayward,HYR,Municipal
Hazleton,HZL,Hazleton
Matsumoto,MMJ,Matsumoto
Hiroshima,HIW,Hiroshima West
Hiroshima,HIJ,International
Kagoshima,KOJ,Kagoshima
Kobe,UKB,Kobe
Kochi,COK,Kochi
Kochi,KCZ,Kochi
Kumamoto,KMJ,Kumamoto
Helena,HEE,Thompson-Robbins
Helena,HLN,Helena
Kyoto,UKY,Kansai
Matsuyama,MYJ,Matsuyama
Miyazaki,KMI,Miyazaki
Nagasaki,NGS,Nagasaki
Nagoya,NKM,Komaki AFB
Helsinki,HEM,Helsinki-Malmi
Naha,NAH,Naha
Niigata,KIJ,Niigata
Hemet,HMT,Ryan Field
Fletcher,AVL,Asheville Regional Airport
Hendon,HEN,Hendon
Kushiro,KUH,Kushiro
Nairobi,NBO,Jomo Kenyatta International
Nairobi,WIL,Wilson
Moyale,MYS,Moyale
Moyale,OYL,Moyale
Malindi,MYD,Malindi
Kisumu,KIS,Kisumu
Nanyuki,NYK,Nanyuki
Mombasa,MBA,Moi International
Hermiston,HES,State
Nakuru,NUU,Nakuru
Hickory,HKY,Hickory
Kericho,KEY,Kericho
Kitale,KTL,Kitale
High Point,GSO,Piedmont Triad Intl
Lamu,LAU,Lamu
Lodwar,LOK,Lodwar
Mandera,NDE,Mandera
Marsabit,RBT,Marsabit
Hillsboro,HIO,Portland
Hillside,HLL,Hillside
Hola,HOA,Hola
Hinesville,LIY,Wright AAF
Hobbs,HBB,Industrial Airpark
Hobbs,HOB,Lea County
Kampot,KMT,Kampot
Moroni,YVA,Iconi
Moroni,HAH,Prince Said Ibrahim In
Holdrege,HDE,Brewster Field
Holland,HLM,Park Township
Hollister,HLI,Hollister
Hollywood,HWO,North Perry
Homer,HOM,Homer
Homestead,HST,AFB
Jeju,JCJ,Chuja Heliport
Jeju,CJU,Jeju Airport
Jeju,JSP,Seogwipo Heliport
Jeonju,CHN,Jeonju
Incheon,JCN,Heliport
Hong Kong,HHP,H K Heliport
Honolulu,HIK,Hickam AFB
Honolulu,HNL,International
Mokpo,MPK,Mokpo
Hope,YHE,Hope
Hopkinsville,HOP,Campbell AAF
Hoquiam,HQM,Bowerman
Kelso,KLS,Longview
Hot Springs,HOT,Memorial Field
Hot Springs,HSP,Ingalls Field
Houghton,HTL,Roscommon County
Houston,ZHO,Bus Station
Houston,AAP,Andrau Airpark
Houston,JDX,Central Bus. District
Houston,DWH,David Wayne Hooks
Houston,EFD,Ellington Field
Houston,IAH,George Bush Intercntl.
Houston,JGP,Greenway Plaza H/P
Houston,HOU,Hobby
Houston,JMA,Marriot Astrodome
Houston,JPT,Park Ten Heliport
Houston,SPX,Spaceland
Houston,JGQ,Transco Twr Galleria
Houston,IWS,West Houston
Houston,JWH,Westchase Hilton H/P
Houston,JWL,Woodlawns
Hurghada,HRG,Hurghada
Luxor,LXR,Luxor
Hudson,HCC,Columbia County
Massawa,MSW,Massawa
Logrono,RJL,Agoncillo
Huehuetenango,HUG,Huehuetenango
Huelva,HEV,Huelva
Las Palmas,LPA,Arpt De Gran Canaria
Murcia,MJV,San Javier
Hugo,HUJ,Hugo
Malaga,AGP,Malaga
Humboldt,HUD,Humboldt
Humboldt,HBO,Municipal
Melilla,MLN,Melilla
La Coruna,LCG,La Coruna
Huntingburg,HNB,Municipal
Huntington,HTS,Tri-State/Milton
Huntsville,HUA,Redstone AAF
Huntsville,HSV,Huntsville
Madrid,MAD,Barajas
Madrid,TOJ,Torrejon AFB
Huron,HON,Howes
Hutchinson,HUT,Hutchinson
Jijiga,JIJ,Jigiga
Kuopio,KUO,Kuopio
Jyvaskyla,JYV,Jyvaskyla
Mikkeli,MIK,Mikkeli
Kajaani,KAJ,Kajaani
Lappeenranta,LPP,Lappeenranta
Joensuu,JOE,Joensuu
Kouvola,QVY,Bus Station
Kouvola,UTI,Utti
Mariehamn,MHQ,Mariehamn
Idaho Falls,IDA,Fanning Field
Lorient,LRT,Lann Bihoue
Marseille,MRS,Marseille Provence Airport
Marseille,XRF,Marseille Railway
Nantes,NTE,Nantes Atlantique
Metz,MZM,Frescaty
Montpellier,MPL,Montpellier Méditerranée
Montpellier,XPJ,Montpellier Railway
Limoges,LIG,Bellegarde
Lille,LIL,Lesquin
Lille,XDB,Lille Europe Rail Svc
Lille,XFA,Lille Flanders Rail Sv
Lyon,LYN,Bron
Lyon,XYD,Lyon Part-Dieu Rail Sv
Lyon,XYL,Lyon Perrache Rail Svc
Lyon,XYV,Lyon Satolas Rail Svc
Lyon,GNB,Saint Geoirs
Lyon,LYS,Satolas
Le Havre,LEH,Octeville
Le Mans,LME,Arnage
Nancy,ENC,Essey
Nevers,NVS,Nevers
La Rochelle,LRH,Laleu
Nimes,FNI,Garons
Nimes,ZYN,Railway
Ilford,ILF,Ilford
Libreville,LBV,Libreville
Ndende,KDN,Ndende
Moanda,MNB,Moanda
Moanda,MFF,Moanda
Mouila,MJL,Mouila
Makokou,MKU,Makokou
Mekambo,MKB,Mekambo
Koulamoutou,KOU,Koulamoutou
Lambarene,LBQ,Lambarene
Newbury,EWY,Greenham RAF
Lochgilphead,LPH,Heliport
Nottingham,NQT,Nottingham Airport
Nottingham,EMA,Nottingham E. Midlands
Nottingham,XQI,Railway Station
Nottingham,XQH,Railway Station
Imperial,IPL,Imperial County
Imperial,IML,Imperial
Imperial Beach,NRS,NAS
Norwich,NWI,Norwich Arpt
Norwich,OIC,Eaton
Independence,INB,Independence
Independence,IDP,Independence
Indiana,IDI,Indiana
Indianapolis,IND,International
Milton Keynes,KYN,Milton Keynes
Newport,NWH,Parlin Field
Newport,ONP,Newport
Newport,NPT,State
Newport,EFK,Newport
Ipswich,IPW,Ipswich (Closed)
Inverness,INV,Inverness
Inverness,ZIV,ScotRail
Leeds,LBA,Leeds/Bradford
Iowa City,IOW,Iowa City
Livingston,LVM,Mission Field
Manchester,MAN,Manchester
Manchester,ZMP,Manchester Bus Stn.
Manchester,MHT,Municipal
Iron Mountain,IMT,Ford
Ironwood,IWD,Gogebic County
Northampton,ORM,Northampton
Londonderry,LDY,Eglinton (City Of Londonderry)
Newry,NRY,Newry
Ithaca,ITH,Tompkins County
Kutaisi,KUT,Kopitnari
Kumasi,KMS,Kumasi
Kankan,KNN,Kankan
Labe,LEK,Labe
Jackson,JXN,Reynolds Municipal
Jackson,MJQ,Jackson
Jackson,HKS,Hawkins Field
Jackson,JAN,Jackson-Evers
Jackson,MKL,Mckellar
Jackson,JAC,Jackson Hole
Macenta,MCA,Macenta
Koundara,SBI,Sambailo
Kissidougou,KSI,Kissidougou
Jacksonville,LRF,Little Rock Afb
Jacksonville,NZC,Cecil Field NAS
Jacksonville,CRG,Craig Municipal
Jacksonville,JAX,International
Jacksonville,NIP,Jacksonville NAS
Jacksonville,IJX,Municipal
Jacksonville,OAJ,Albert J Ellis
Jacksonville,JKV,Jacksonville
Kavala,KVA,Megas Alexandros Apt.
Jacmel,JAK,Jacmel
Kozani,KZI,Philippos Airport
Kalamata,KLX,Kalamata
Kos,KGS,Kos
Jakarta,HLP,Halim Perdana Kusuma
Jakarta,JKT,Soekarno-Hatta Intl
Jalapa,JAL,Jalapa
Jambi,DJB,Sultan Taha Syarifudn
Jamestown,JMS,Jamestown
Jamestown,JHW,Jamestown
Janesville,JVL,Rock County
Mabaruma,USI,Mabaruma
Linden,LDJ,Linden
Lethem,LTM,Lethem
La Ceiba,LCE,Goloson International
Jayapura,DJJ,Sentani
La Esperanza,LEZ,La Esperanza
Jefferson,EFW,Municipal
Jefferson,JFN,Ashtabula
Juticalpa,JUT,Juticalpa
Jefferson City,JEF,Memorial
Jeremie,JEE,Jeremie
Jerusalem,JRS,Jerusalem
Les Cayes,CYA,Les Cayes
Miskolc,MCQ,Miskolc
Maumere,MOF,Waioti
Malang,MLG,Abdul Rahman Saleh
Medan,MES,Polania
Manado,MDC,Samratulangi
Johnson City,TRI,Tri-Cities Regional
Johnstown,JST,Cambria County
Merauke,MKQ,Mopah
Nabire,NBX,Nabire
Joliet,JOT,Municipal
Jonesboro,JBR,Jonesboro
Makale,MQX,Makale
Luwuk,LUW,Luwuk
Joplin,JLN,Joplin
Jorhat,JRH,Rowriah
Kendari,KDI,Wolter Monginsidi
Kupang,KOE,Eltari
Mamuju,MJU,Mamuju
Manokwari,MKW,Rendani
Mataram,AMI,Selaparang
Kilkenny,KKY,Kilkenny
Juneau,JNU,Boundary Bay
Juneau,UNU,Dodge County
Kota,KTU,Kota
Muzaffarpur,MZU,Muzaffarpur
Mumbai,BOM,Chhatrapati Shivaji
Mangalore,IXE,Bajpe
Manitowoc,MTW,Municipal
Kenosha,ENW,Kenosha Regional Airport
Kalamazoo,AZO,Battle Creek Intl
La Crosse,LSE,Municipal
Marshfield,MFI,Municipal
Kalispell,FCA,Glacier National Park
Menominee,MNM,Menominee
New London,GON,New London
Monroe,MLU,Municipal
Monroe,MVC,Monroe - Walton County
Milwaukee,ZML,Milwaukee
Milwaukee,MKE,General Mitchell
Milwaukee,MWC,Lawrence J Timmerman
Madison,MPE,Griswold
Madison,MDN,Jefferson Proving Grd
Madison,XMD,Madison
Madison,MSN,Dane County Regional
New Richmond,RNH,Municipal
Milton,NSE,Whiting Field NAS
Martinsburg,AOO,Martinsburg
Martinsburg,MRB,Eastern Wv Regional Airport/Shepherd Field
Logan,LGU,Cache
Morgantown,MGW,Morgantown
Lewisburg,LWB,Greenbrier Valley
Kankakee,IKK,Greater Kankakee
Kansas City,KCK,Fairfax Municipal
Kansas City,MKC,Downtown
Kansas City,MCI,Kansas City International Airport
Kansas City,OJC,Johnson Executive
Kansas City,JCI,Johnson Industrial
Lakeland,LAL,Municipal
Lake Placid,LKP,Lake Placid
Leesburg,LEE,Leesburg
Miami,TNT,Dade Collier
Miami,JDM,Downtown Heliport
Miami,MIA,Miami International Airport
Miami,OPF,Opa Locka
Miami,MPB,SPB
Miami,TMB,Tamiami
Miami,MIO,Miami
Miramar,MJR,Miramar
Key West,EYW,International
Key West,NQX,NAS
Margate,MGH,Margate
Kissimmee,ISM,Kissimmee Gateway
Kearney,EAR,Kearney
Keene,EEN,Dillant-Hopkins
Laramie,LAR,General Brees Field
Lander,LND,Hunt Field
Laconia,LCI,Municipal
Nashua,ASH,Boire Field
New Bern,EWN,Simmons Nott
Mount Holly,LLY,Burlington County
Kenai,ENA,Kenai
Kennett,KNT,Municipal
Newton,TNU,Municipal
Newton,EWK,City-County
Marion,MWA,Williamson County
Marion,MZZ,Marion
Marion,MNN,Municipal
Keokuk,EOK,Keokuk
Manteo,MEO,Dare County Regional
Kill Devil Hills,FFA,First Flight
Kerrville,ERV,Kerrville
Lexington,LEX,Blue Grass
Lexington,LSD,Creech AAF
Lexington,LXN,Lexington
Ketchikan,KTN,International
Ketchikan,WFB,Waterfront SPB
Kinston,ISO,Stallings Field
Morganton,MRN,Lenoir
Nashville,BNA,Metropolitan
Lumberton,LBT,Lumberton
Minot,MOT,International
Minot,MIB,Minot AFB
North Platte,LBF,Lee Bird Field
Norfolk,OFK,Stefan Field
Norfolk,ORF,International
Norfolk,NGU,Nas Chambers
Kilgore,GGG,Kilgore
Memphis,MEM,International
Memphis,NQA,NAS
Killeen,HLR,Fort Hood AAF
Killeen,GRK,Gray AAF
Killeen,ILE,Municipal
Morristown,MMU,Municipal
Morristown,MOR,Moore-Murrell
King City,KIC,Mesa Del Rey
Knoxville,TYS,Mc Ghee Tyson
Kingman,IGM,Kingman
Kingsville,NQI,NAS
Lafayette,LAF,Purdue University
Kirksville,IRK,Municipal
Lockport,LOT,Lewis Lockport
Newark,ZME,Metropark Rail
Newark,ZRP,Newark NJ Rail
Monticello,MXO,Municipal
Monticello,MSV,Sullivan County Intl
Monticello,MXC,San Juan County
Newburgh,SWF,Stewart
Klamath Falls,LMT,Kingsley Field
Niagara Falls,IAG,International
New York,NBP,Battery Pk City/N. Cov
New York,JRB,Downtown Manhattan H/P
New York,TSS,East 34th St Heliport
New York,NES,East 34th St Landing
New York,JRE,East 60th Street H/P
New York,FLU,Flushing
New York,JFK,John F Kennedy Intl
New York,LGA,La Guardia
New York,QNY,Marine Air Terminal
New York,ZYP,New York Penn STN
New York,NWS,Pier 11/Wall St. SPB
New York,JRA,West 30th St Heliport
New York,WTC,World Trade Center
Kodiak,ADQ,Kodiak Airport
Kodiak,WDY,Kodiak Fss
Kodiak,KDK,Municipal
Manville,JVI,Kupper
Kokomo,OKK,Kokomo
Montvale,QMV,Montvale
Millville,MIV,Millville
Kosciusko,OSX,Attala County
Norwood,OWD,Memorial
Las Vegas,LVS,Las Vegas
Las Vegas,HSH,Henderson Sky Harbor
Las Vegas,LAS,Mccarran Intl
Las Vegas,LSV,Nellis AFB
Las Vegas,VGT,North Air Terminal
Las Cruces,LRU,Municipal
Nacogdoches,OCH,Nacogdoches
Nacogdoches,LFK,Lufkin Angelina County
Lubbock,LBB,International
Lubbock,REE,Reese AFB
Lake Jackson,LJN,Brazoria County
Mission,MFE,Mission
Laredo,LRD,International
Longview,LOG,Longview
Marshall,MLL,Marshall
Marshall,MML,Municipal-Ryan Field
Marshall,MHL,Memorial Municipal
Marshall,ASL,Harrison County
La Grande,LGD,La Grande
La Grande,YGL,La Grande
Mesquite,MFH,Mesquite
La Grange,LGC,Calloway
Lancaster,RZH,Quartz Hill
Lancaster,WJF,William J Fox
Lancaster,LNS,Lancaster
Lancaster,ZRL,Lancaster PA Rail
Mineral Wells,CWO,Ft Wolter AAF
Mineral Wells,MWL,Mineral Wells Arpt
Mount Pleasant,MPN,Mount Pleasant
Mount Pleasant,MOP,Municipal
Mount Pleasant,MPS,Mount Pleasant
La Verne,POC,Brackett Field
